0:0:0:0:0:0:0:1 - - [19/Mar/2025:08:41:50 +0100] "GET /guacamole/images/warning.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:05:59 +0100] "POST /guacamole/api/tokens HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:05:59 +0100] "POST /guacamole/api/session/data/mysql/connections HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:05:59 +0100] "PATCH /guacamole/api/session/data/mysql/users/0000113/permissions HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:15 +0100] "POST /guacamole/api/tokens HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:35 +0100] "GET /guacamole/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:36 +0100] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:36 +0100] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:36 +0100] "POST /guacamole/api/tokens HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:36 +0100] "GET /guacamole/api/languages HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/api/patches HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "DELETE /guacamole/api/session HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/api/session/data/mysql-shared/connectionGroups/ROOT/tree HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/api/session/data/mysql-shared/self/effectivePermissions HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [19/Mar/2025:09:11:37 +0100] "GET /guacamole/api/session/data/mysql/self/effectivePermissions HTTP/1.1" 200 238
